번호,대여소명,거치대,구,주소,위도,경도,구역,인터넷,CCTV,거치대,구조
162,송강체육관,13,유성구,송강동 200-2 ,36.431581,127.38734,7구역,,,평면,일자형
163,송강초등학교,13,유성구,송강동 199,36.433066,127.3841,7구역,,,평면,일자형
164,롯데마트(관평점),12,유성구,관평동 1286,36.427714,127.387394,7구역,,2,평면,일자형
165,배울네거리,13,유성구,관평동 912,36.421997,127.38759,7구역,,,평면,십일자형
166,인동네거리,11,동구,인동 116-18,36.321929,127.437948,5구역,,,평면,일자형
167,원동네거리,9,동구,원동 36-1,36.326922,127.434912,5구역,,,평면,일자형
168,성남네거리,10,동구,성남동 50-1,36.341011,127.435647,6구역,,,평면,일자형
169,삼성네거리,13,동구,삼성동 112-1,36.336377,127.430264,5구역,,,평면,일자형
170,대전고오거리,11,중구,대흥동 320-2,36.322841,127.424127,5구역,,2,평면,일자형
171,대흥네거리,11,중구,대흥동 173-5,36.323695,127.428648,5구역,,,평면,일자형
172,부사네거리,10,중구,부사동 129-5,36.313281,127.434005,5구역,,,평면,일자형
173,무지개아파트,12,서구,월평동 298,36.357935,127.37708,2구역,,,평면,일자형
174,가수원네거리(전통시장 입구),11,서구,가수원동 764-11,36.304949,127.352992,3구역,,,평면,일자형
175,건양대네거리,13,서구,관저동 999,36.302355,127.339827,3구역,,,평면,일자형
176,관저2동주민센터,11,서구,관저동 1104,36.299304,127.334978,3구역,,2,평면,일자형
177,관저1동주민센터,11,서구,관저동 999-3,36.303811,127.337174,3구역,,,평면,일자형
178,노은역 3번출구,11,유성구,지족동 901-5,36.374368,127.31798,7구역,,,평면,일자형
179,반석역 1번출구,12,유성구,반석동 694,36.391242,127.314932,7구역,,2,평면,일자형
180,전민동주민센터(건너편),10,유성구,전민동 304-5,36.399535,127.401538,7구역,,,평면,일자형
181,엑스포아파트4단지(건너편),10,유성구,전민동 385-8,36.396557,127.404773,7구역,,,평면,일자형
182,한밭대 입구,15,유성구,덕명동 16-1,36.349941,127.297135,3구역,,1,평면,일자형
183,현충원역 3번출구,15,유성구,구암동 424-67,36.359526,127.320935,3구역,,,평면,일자형
184,오정우체국(건너편),11,대덕구,오정동 432-4,36.352567,127.415543,1구역,,,평면,일자형
185,비래동 산림조합,12,대덕구,비래동 123-7,36.355131,127.446021,6구역,,,평면,일자형
186,한밭수목원2,20,서구,만년동 396,36.368995,127.388403,1구역,,1,평면,일자형
187,양우건설 내안애,13,유성구,원신흥동 485-3,36.344262,127.347305,3구역,,,평면,일자형
188,구봉초등학교(건너편),12,서구,관저동 1147,36.298766,127.329552,3구역,,,평면,일자형
189,샘물타운아파트(301동),12,유성구,원내동 349,36.299757,127.320351,3구역,,,평면,일자형
190,교촌제이파크(101동),12,유성구,교촌동 617,36.303758,127.318463,3구역,,,평면,일자형
191,신흥마을아파트(102동),12,동구,신흥동 212,36.321234,127.444964,5구역,,,평면,일자형
192,보문산오거리,12,중구,대사동 118-9,36.317631,127.425722,5구역,,,평면,일자형
193,석교동주민센터,12,중구,석교동 12-7,36.309688,127.441991,5구역,,,평면,일자형
194,호동우체국(건너편),10,중구,호동 10-14,36.304773,127.449311,5구역,,,평면,일자형
195,한밭도서관,11,중구,문화동 141,36.31018,127.408276,4구역,,1,평면,일자형
196,대덕문화원,12,대덕구,읍내동 324-5,36.374101,127.420302,6구역,,,평면,일자형
197,농도원네거리,12,서구,도마동 65-56,36.320184,127.377671,4구역,,,평면,일자형
198,도마네거리,12,서구,도마동 172-13,36.313804,127.379636,4구역,,,평면,일자형
199,노은1동주민센터,12,유성구,노은동 546,36.368231,127.318006,7구역,,,평면,일자형
